State,Revenue District,Centre,Capacity completed but some minor ancillary works are pending,Capacity completed,Total Completed
Jammu & Kashmir,Kathua,Kathua,NA,8000,8000
Total,Total,Total,0,127180,127180
Kerala,Pathanamthitta,Kunnamthanam,NA,5000,5000
Total,Total,Total,0,5000,5000
Gujarat,Ananad,Vadod,NA,4800,4800
Gujarat,Junagarh,Junagarh,NA,25000,25000
Gujarat,Kheda,Nadiad,NA,5000,5000
Gujarat,Tapi,Vyara,NA,15000,15000
Total,Total,Total,0,49800,49800
Grand Total,Grand Total,Grand Total,295000,12814378,13109378
