State,Revenue District,Centre,Capacity completed but some minor ancillary works are pending,Capacity completed,Total Completed
Uttar Pradesh,Shahjahanpur,Shahjahanpur,NA,86000,86000
Uttar Pradesh,Shahjahanpur,Shahjahanpur,NA,8000,8000
Uttar Pradesh,Shrawasti,Shrawasti,NA,10000,10000
Uttar Pradesh,Siddharth Nagar,Siddharth Nagar,NA,55000,55000
Uttar Pradesh,Sitapur,Sitapur,NA,60000,60000
Uttar Pradesh,Sultanpur,Sultanpur,NA,10000,10000
Uttar Pradesh,Sultanpur (Jaferganj),Sultanpur (Jaferganj),NA,2000,2000
Uttar Pradesh,Firozabad,Firozabad,NA,10000,10000
Uttar Pradesh,Etah,Etah,NA,10000,10000
Uttar Pradesh,Bulandshahar,Bulandshahar,NA,10000,10000
Uttar Pradesh,Banda,Banda,NA,5000,5000
Uttar Pradesh,Etawah,Etawah,NA,10000,10000
Uttar Pradesh,Farrukhabad,Farrukhabad,NA,5000,5000
Uttar Pradesh,Sitapur,Sitapur,NA,10000,10000
Uttar Pradesh,Hardoi,Hardoi,NA,11667,11667
Total,Total,Total,NA,1233127,1233127
Haryana,Ambala,Ambala,NA,55000,55000
Haryana,Bhiwani,Bhiwani,NA,27500,27500
Haryana,Faridabad,Palwal,NA,17392,17392
Haryana,Faridabad,Palwal,NA,115000,115000
Haryana,Fatehabad,Tohana,NA,5000,5000
Haryana,Fatehabad,Tohana,NA,5000,5000
Haryana,Fatehabad,Tohana (Fatehabad),NA,10000,10000
Haryana,Fatehabad,Tohana,NA,104630,104630
Haryana,Fatehabad,Bhattu,NA,67100,67100
Haryana,Fatehabad,Bhattu,NA,121030,121030
Haryana,Fatehabad,Bhattu,NA,61670,61670
Haryana,Fatehabad,Jakhal,NA,10000,10000
Haryana,Fatehabad,Jakhal,NA,50960,50960
Haryana,Hisar,Adampur,NA,70000,70000
Haryana,Hisar,Barwala,NA,33936,33936
Haryana,Hisar,Barwala,NA,176064,176064
Haryana,Hisar,Hansi,NA,29418,29418
Haryana,Hisar,Hansi,NA,90000,90000
Haryana,Hisar,Hissar,NA,35000,35000
Haryana,Jind,Jind,NA,20000,20000
Haryana,Jind,Jind,NA,90000,90000
Haryana,Jind,Narwana,NA,102700,102700
Haryana,Jind,Safidon,NA,114440,114440
Haryana,Jind,Uchana,NA,5000,5000
Haryana,Jind,Uchana,NA,112270,112270
Haryana,Kaithal,Kaithal,NA,100000,100000
Haryana,Kaithal,Dhand,NA,136970,136970
Haryana,Karnal,Karnal,NA,106275,106275
Haryana,Karnal,Karnal,NA,23725,23725
Haryana,Karnal,Taraori,NA,19600,19600
Haryana,Karnal,Taraori,NA,54560,54560
Haryana,Panipat,Panipat,NA,115040,115040
Haryana,Panipat,Panipat,NA,11250,11250
Haryana,Rohtak,Rohtak,NA,111700,111700
Haryana,Rohtak,Rohtak,NA,33350,33350
Haryana,Sonepat,Sonepat,NA,39200,39200
Haryana,Sonepat,Sonepat,NA,50740,50740
Haryana,Sonepat,Gohana,NA,80151,80151
Haryana,Sirsa,Dabwali,NA,210000,210000
Haryana,Sirsa,Ellenabad,NA,30000,30000
Haryana,Sirsa,Ellenabad,NA,164450,164450
Haryana,Sirsa,Kalanwali,NA,90000,90000
Haryana,Sirsa,Kalanwali,NA,48870,48870
Haryana,Sirsa,Sirsa,NA,45575,45575
Haryana,Sirsa,Sirsa (Panniwala),NA,118740,118740
Haryana,Sirsa,Sirsa,NA,168653,168653
Haryana,Kurukshetra,Kurukshetra (Pipali),NA,7500,7500
Haryana,Kurukshetra,Kurukshetra,NA,52500,52500
Haryana,Kurukshetra,Shahbad,NA,70000,70000
Haryana,Yamuna Nagar,Jagdhari,NA,6670,6670
Haryana,Yamuna Nagar,Jagadhari,NA,32000,32000
Total,Total,Total,NA,3456629,3456629
Rajasthan,Banswara,Banswara,NA,10000,10000
Rajasthan,Banswara,Banswara,NA,5000,5000
Rajasthan,Barmer,Barmer,NA,5000,5000
Rajasthan,Barmer,Barmer,NA,15000,15000
Rajasthan,Bhilwara,Bhilwara,NA,25000,25000
Rajasthan,Churu,Churu,NA,18000,18000
Rajasthan,Dungarpur,Dungarpur,NA,40000,40000
Rajasthan,Jalore,Jalore,NA,5000,5000
Rajasthan,Jhalawar,Jhalawar,NA,5000,5000
Rajasthan,Jhalawar,Jhalawar,NA,7500,7500
Rajasthan,Karoli,Karoli,NA,10000,10000
Rajasthan,Pali,Pali,NA,5000,5000
Rajasthan,Pratapgarh,Pratapgarh,NA,17500,17500
Rajasthan,Rajsamand,Rajsamand,40000,NA,40000
Rajasthan,Sirohi,Sirohi,12000,NA,12000
Total,Total,Total,52000,168000,220000
Himachal Pradesh,Kangara,Dehra,NA,2500,2500
Himachal Pradesh,Kangara,Ranital,NA,5000,5000
Himachal Pradesh,Mandi,Sarkaghat,5000,NA,5000
Himachal Pradesh,Sirmaur,Nahan,NA,11670,11670
Total,Total,Total,5000,19170,24170
West Bengal,East Midnapur,Tamluk,NA,20000,20000
West Bengal,East Midnapur,Egra,NA,10000,10000
West Bengal,West Midnapur,Kharagpur,NA,3600,3600
West Bengal,West Midnapur,C.K.Road,NA,26500,26500
West Bengal,Murshidabad,Behrampore,NA,11600,11600
West Bengal,Murshidabad,Sargachi,NA,2400,2400
West Bengal,Howrah,Ulberia,NA,10270,10270
West Bengal,Jalpaiguri,Raninagar,NA,15000,15000
West Bengal,Malda,Malda,NA,7400,7400
West Bengal,Burdwan,Memari,NA,5000,5000
West Bengal,Burdwan,Guskara,NA,5000,5000
West Bengal,Burdwan,Monteshwar,NA,5000,5000
West Bengal,Burdwan,Ketugram,NA,5000,5000
West Bengal,Burdwan,Bhatar,NA,5000,5000
West Bengal,Birbhum,Bolepur,NA,5000,5000
West Bengal,Birbhum,Sainthia,NA,5000,5000
West Bengal,24-PGS (North),Basirhat,NA,5000,5000
Total,Total,Total,NA,146770,146770
Bihar,Bhojpur,Arrah,NA,5000,5000
Bihar,Begusarai,Begusarai,NA,15000,15000
Bihar,Begusarai,Begusarai,NA,5000,5000
Bihar,Patna,Bihta,NA,5000,5000
Bihar,Saran,Chhapra,NA,10000,10000
Bihar,Khagiriya,Khagiriya,NA,10000,10000
Bihar,Khagiriya,Khagiriya,10000,NA,10000
Bihar,E. Champaran,Motihari,NA,5000,5000
Bihar,E. Champaran,Motihari,NA,20000,20000
Bihar,Samastipur,Samastipur,NA,10000,10000
Bihar,Rohtas,Sasaram,NA,5000,5000
Bihar,Bhagalpur,Munger,NA,10000,10000
Bihar,W.Champaran,Bettiah,NA,20000,20000
Bihar,Kaimur,Mohaniya,NA,15000,15000
Total,Total,Total,10000,135000,145000
Odisha,Bhadarak,Bhadarak,NA,10000,10000
Odisha,Bolangir,Bolangir,NA,20000,20000
Odisha,Boudh,Boudh,NA,5000,5000
Odisha,Boudh,Charichak,NA,5000,5000
Odisha,Puri,Brahmagiri,NA,5000,5000
Odisha,Puri,Puri-Nimapara,NA,5000,5000
Odisha,Deogarh,Deogarh,NA,5000,5000
Odisha,Kendrapada,Derabish,NA,5000,5000
Odisha,Kendrapada,Kendrapara-Marsaghai,NA,10000,10000
Odisha,Jajpur,Dhanmandal,NA,7500,7500
Odisha,Jajpur,Panikoli,NA,5000,5000
Odisha,Dhenknal,Dhenknal,NA,5000,5000
Odisha,Ganjam,Ganjam_Aska,NA,10000,10000
Odisha,Jagatsinghpur,Jagatsinghpur,NA,7000,7000
Odisha,Kalahandi,Kalahandi-Junagarh,NA,12000,12000
Odisha,Kalahandi,Kalahandi-Koksara,NA,13000,13000
Odisha,Bargarh,Kendupali,NA,7500,7500
Odisha,Bargarh,Kendupali,NA,40000,40000
Odisha,Bargarh,Kendupali,NA,2500,2500
Odisha,Khurda,Khurda-Jatni,NA,15000,15000
Odisha,Malkanagiri,Malkanagiri,NA,5000,5000
Odisha,Mayurbhanj,Mayurbhanj-Karanjia,NA,5000,5000
Odisha,Mayurbhanj,Rairangpur,NA,5000,5000
Odisha,Nayagarh,Nayagarh,NA,10000,10000
Odisha,Nowrangpur,Nowrangpur,NA,10000,10000
Odisha,Nuapada,Nuapada-Dumerpani,NA,5000,5000
Odisha,Nuapada,Nuapada-Rajkhariar,NA,5000,5000
Odisha,Sambalpur,Sambalpur-A. Katapalli,NA,10000,10000
Odisha,Sambalpur,Sambalpur-Kalamati,NA,10000,10000
Odisha,Subaranapur,Subaranapur_Sonpur,NA,10000,10000
Odisha,Subaranapur,Subaranapur_Sonpur,NA,10000,10000
Total,Total,Total,NA,279500,279500
Chhattisgarh,Janjgir,Akaltara,NA,18740,18740
Chhattisgarh,Janjgir,Baradwar,NA,9640,9640
Chhattisgarh,Janjgir,Champa,NA,10000,10000
Chhattisgarh,Janjgir,Janjgir,NA,18740,18740
Chhattisgarh,Janjgir,Sakti,NA,9640,9640
Chhattisgarh,Janjgir,Akaltara,NA,10000,10000
Chhattisgarh,Janjgir,Janjgir,NA,10000,10000
Chhattisgarh,Janjgir,Faguram,NA,10000,10000
Chhattisgarh,Sarguja,Ambikapur,NA,5000,5000
Chhattisgarh,Sarguja,Bishrampur,NA,5000,5000
Chhattisgarh,Sarguja,Surajpur,NA,10000,10000
Chhattisgarh,Mahasamund,Bagbahara,NA,9440,9440
Chhattisgarh,Mahasamund,Basna,NA,10000,10000
Chhattisgarh,Mahasamund,Mahasamund,NA,15000,15000
Chhattisgarh,Mahasamund,Pithora,NA,5000,5000
Chhattisgarh,Mahasamund,Saraipali,NA,10000,10000
Chhattisgarh,Mahasamund,Mahasamund,NA,20000,20000
Chhattisgarh,Mahasamund,Bagbahara,NA,20000,20000
